,city,lat,lng,country,population
480,Andijon,40.7833,72.3333,Uzbekistan,747800.0
481,Gaalkacyo,6.7697,47.4308,Somalia,745000.0
482,Nampula,-15.1167,39.2667,Mozambique,743000.0
483,Kyaukse,21.6131,96.1303,Burma,741071.0
484,Bouaké,7.6833,-5.0331,Côte d’Ivoire,740000.0
485,Cabinda,-5.56,12.19,Angola,739182.0
486,Kermān,30.2625,57.0575,Iran,738374.0
487,Orūmīyeh,37.5439,45.0647,Iran,736224.0
488,Quebec City,46.8139,-71.2081,Canada,733156.0
489,Hamilton,43.2567,-79.8692,Canada,729560.0
490,Cagayan de Oro,8.48,124.65,Philippines,728402.0
491,Manama,26.2233,50.5875,Bahrain,727000.0
492,Uvira,-3.4,29.15,Congo (Kinshasa),726000.0
493,An Najaf,32.029,44.3396,Iraq,724700.0
494,Concepción,-36.8282,-73.0514,Chile,719944.0
495,San Pedro Sula,15.5062,-88.0249,Honduras,719064.0
496,Mississauga,43.6,-79.65,Canada,717961.0
497,Lviv,49.8425,24.0322,Ukraine,717273.0
498,Valenzuela,14.7,120.98,Philippines,714978.0
499,Huambo,-12.7767,15.7347,Angola,713134.0
500,Zaporizhzhia,47.85,35.1175,Ukraine,710052.0
501,Oslo,59.9133,10.7389,Norway,709037.0
502,George Town,5.4136,100.3294,Malaysia,708127.0
503,Bristol,51.4536,-2.5975,United Kingdom,707412.0
504,Nampo,38.7356,125.4089,"Korea, North",703317.0
505,Dasmariñas,14.33,120.94,Philippines,703141.0
506,Boosaaso,11.28,49.18,Somalia,700906.0
507,Latakia,35.54,35.78,Syria,700000.0
508,Parachinar,33.9,70.1,Pakistan,700000.0
509,General Santos,6.12,125.17,Philippines,697315.0
510,Ḩamāh,35.1503,36.73,Syria,696863.0
511,Sinnūris,29.4072,30.8667,Egypt,692701.0
512,Cocody,5.3351,-4.0039,Côte d’Ivoire,692583.0
513,Karbalā’,32.6167,44.0333,Iraq,690100.0
514,Borvāyeh-ye Al Bū ‘Azīz,31.6283,48.6147,Iran,690000.0
515,Zaragoza,41.65,-0.8833,Spain,686986.0
516,Mar del Plata,-38.0,-57.55,Argentina,682605.0
517,Rasht,37.2744,49.5889,Iran,679995.0
518,Cotonou,6.3667,2.4333,Benin,679012.0
519,Soledad,10.9167,-74.75,Colombia,676014.0
520,Gothenburg,57.7075,11.9675,Sweden,674529.0
521,Bahār,34.9078,48.4394,Iran,673405.0
522,Wrocław,51.11,17.0325,Poland,672929.0
523,Murcia,37.9861,-1.1303,Spain,672773.0
524,Łódź,51.7769,19.4547,Poland,670642.0
525,Ch’ŏngjin,41.7833,129.7667,"Korea, North",667929.0
526,Bulawayo,-20.17,28.58,Zimbabwe,665952.0
527,Rotterdam,51.92,4.48,Netherlands,664311.0
528,Villavicencio,4.15,-73.6333,Colombia,664148.0
529,Kitwe,-12.8167,28.2,Zambia,661901.0
530,Catia La Mar,10.6,-67.0333,Venezuela,661897.0
531,Al Hufūf,25.3608,49.5997,Saudi Arabia,660788.0
532,Sargodha,32.0836,72.6711,Pakistan,659862.0
533,Brampton,43.6833,-79.7667,Canada,656480.0
534,Abomey-Calavi,6.4486,2.3556,Benin,655965.0
535,Dayrūţ,27.5564,30.8106,Egypt,653847.0
536,Huế,16.4619,107.5955,Vietnam,652572.0
537,Maturín,9.75,-63.183,Venezuela,647459.0
538,Sha Tin,22.3802,114.1898,Hong Kong,640000.0
539,Chisinau,47.0228,28.8353,Moldova,639000.0
540,Petaling Jaya,3.0833,101.65,Malaysia,638516.0
541,Tallinn,59.4372,24.7453,Estonia,638076.0
542,Las Palmas,28.1258,-15.4353,Spain,635000.0
543,Benghazi,32.1167,20.0667,Libya,631555.0
544,Düsseldorf,51.2256,6.7767,Germany,631217.0
545,Palermo,38.1157,13.3613,Italy,630167.0
546,Ndola,-12.9689,28.6325,Zambia,627503.0
547,Ţūkh,30.3549,31.2011,Egypt,627290.0
548,Glasgow,55.8611,-4.25,United Kingdom,626410.0
549,Bazal’tove,50.6765,26.16,Ukraine,625543.0
550,Al Qaţīf,26.5196,50.0115,Saudi Arabia,625092.0
551,Al Manşūrah,31.05,31.3833,Egypt,621953.0
552,Leipzig,51.34,12.375,Germany,619879.0
553,Ḩalwān,29.8493,31.3327,Egypt,619293.0
554,Tân An,10.905,106.6994,Vietnam,618984.0
555,Port-Bouët,5.2568,-3.963,Côte d’Ivoire,618795.0
556,Arusha,-3.3667,36.6833,Tanzania,617631.0
557,Kandahār,31.62,65.7158,Afghanistan,614254.0
558,Oujda-Angad,34.6867,-1.9114,Morocco,614000.0
559,Kuantan,3.83,103.32,Malaysia,607778.0
560,Gold Coast,-28.0167,153.4,Australia,607665.0
561,San Miguel de Tucumán,-26.8167,-65.2167,Argentina,605767.0
562,Ar Rayyān,25.25,51.4,Qatar,605712.0
563,Riga,56.9475,24.1069,Latvia,605273.0
564,Malanje,-9.5333,16.35,Angola,604215.0
565,Kryvyi Rih,47.91,33.39,Ukraine,603904.0
566,Djibouti,11.5944,43.1481,Djibouti,603900.0
567,Garoua,9.3,13.4,Cameroon,600000.0
568,Bamenda,5.9614,10.1517,Cameroon,600000.0
569,Bafoussam,5.4667,10.4167,Cameroon,600000.0
570,Haifa,32.8192,34.9992,Israel,600000.0
571,Tunis,36.8064,10.1817,Tunisia,599368.0
572,Dortmund,51.5139,7.4653,Germany,595471.0
573,Al Mukallā,14.5333,49.1333,Yemen,594951.0
574,Dublin,53.3497,-6.2603,Ireland,592713.0
575,Al Maḩallah al Kubrá,30.9667,31.1667,Egypt,592573.0
576,Pereira,4.8143,-75.6946,Colombia,590554.0
577,Gaza,31.5069,34.456,Gaza Strip,590481.0
578,Zāhedān,29.5025,60.8558,Iran,587730.0
579,Essen,51.4508,7.0131,Germany,586608.0
580,Shah Alam,3.0667,101.55,Malaysia,584340.0
581,Vilnius,54.6872,25.28,Lithuania,581475.0
582,Al Mafraq,32.3399,36.2052,Jordan,580000.0
583,Kingston,17.9714,-76.7931,Jamaica,580000.0
584,Aţ Ţā’if,21.2667,40.4167,Saudi Arabia,579970.0
585,Port Sudan,19.6158,37.2164,Sudan,579942.0
586,Nha Trang,12.245,109.1917,Vietnam,579000.0
587,Bremen,53.0758,8.8072,Germany,577026.0
588,Mymensingh,24.7504,90.38,Bangladesh,576927.0
589,Puente Alto,-33.6167,-70.5667,Chile,573935.0
590,Rabat,34.0209,-6.8416,Morocco,572717.0
591,Kabinda,-6.13,24.48,Congo (Kinshasa),572000.0
592,Shibīn al Qanāţir,30.3127,31.3202,Egypt,570868.0
593,Abū Ḩummuş,31.0931,30.3142,Egypt,569157.0
594,Irbid,32.55,35.85,Jordan,569068.0
595,Macau,22.2006,113.5461,Macau,568700.0
596,Surrey,49.19,-122.8489,Canada,568322.0
597,Dresden,51.05,13.74,Germany,566222.0
598,Antwerp,51.2178,4.4003,Belgium,565039.0
599,Bello,6.3333,-75.5667,Colombia,561955.0
600,Genoa,44.4072,8.934,Italy,558745.0
601,Herāt,34.3419,62.2031,Afghanistan,556205.0
602,Chiclayo,-6.763,-79.8366,Peru,552508.0
603,Braunschweig,52.2667,10.5167,Germany,551000.0
604,Palma,39.5667,2.65,Spain,550000.0
605,Rustenburg,-25.6667,27.2428,South Africa,549575.0
606,Lisbon,38.7122,-9.134,Portugal,548703.0
607,The Hague,52.08,4.31,Netherlands,548320.0
608,Hannover,52.3667,9.7167,Germany,548186.0
609,Sevastopol,44.605,33.5225,Ukraine,547820.0
610,Manchester,53.479,-2.2452,United Kingdom,547627.0
611,Poznań,52.4083,16.9336,Poland,546859.0
612,Ibagué,4.4333,-75.2333,Colombia,546003.0
613,Sungai Petani,5.6497,100.4793,Malaysia,544851.0
614,Valledupar,10.4833,-73.25,Colombia,544134.0
615,K’ebrī Beyah,9.0833,43.0833,Ethiopia,543272.0
616,Mbeya,-8.9,33.45,Tanzania,541603.0
617,An Nāşirīyah,31.0439,46.2575,Iraq,541600.0
618,Al Ḩillah,32.4833,44.4333,Iraq,541034.0
619,El Geneina,13.45,22.44,Sudan,538390.0
620,Agadir,30.4214,-9.5831,Morocco,538000.0
621,Santa Cruz,28.4667,-16.25,Spain,538000.0
622,Leeds,53.7975,-1.5436,United Kingdom,536280.0
623,Kassala,15.45,36.4,Sudan,536009.0
624,Salta,-24.7833,-65.4167,Argentina,535303.0
625,Nansana,0.3639,32.5286,Uganda,532800.0
626,Beira,-19.8333,34.85,Mozambique,530604.0
627,Touba,14.8667,-15.8833,Senegal,529176.0
628,Mixco,14.6331,-90.6064,Guatemala,527828.0
629,Nuremberg,49.4539,11.0775,Germany,526091.0
630,Port Said,31.2625,32.3061,Egypt,524433.0
631,Kitchener,43.4186,-80.4728,Canada,522888.0
632,Soacha,4.5872,-74.2214,Colombia,522442.0
633,Maipú,-33.5167,-70.7667,Chile,521627.0
634,Lyon,45.76,4.84,France,520774.0
635,Meknès,33.895,-5.5547,Morocco,520428.0
636,Al Fayyūm,29.3,30.8333,Egypt,519047.0
637,Sheffield,53.3808,-1.4703,United Kingdom,518090.0
638,Qaraghandy,49.8028,73.1056,Kazakhstan,515632.0
639,Samarkand,39.6547,66.9758,Uzbekistan,513572.0
640,Liverpool,53.4072,-2.9917,United Kingdom,513441.0
641,Benguela,-12.55,13.4167,Angola,512886.0
642,Cuito,-12.3833,16.9333,Angola,512706.0
643,Toulouse,43.6045,1.444,France,511684.0
644,Al ‘Amārah,31.8333,47.15,Iraq,511500.0
645,Carrefour,18.5333,-72.4,Haiti,511345.0
646,Cadaado,6.1393,46.6241,Somalia,510654.0
647,Kenitra,34.25,-6.5833,Morocco,507736.0
648,Newcastle,-27.7464,29.9328,South Africa,507710.0
649,Homyel’,52.4453,30.9842,Belarus,501102.0
650,El Fasher,13.63,25.35,Sudan,500000.0
651,Farāh,32.3436,62.1194,Afghanistan,500000.0
652,Belas,-8.9983,13.265,Angola,500000.0
653,Talatona,-8.9167,13.1833,Angola,500000.0
654,K’ebrī Dehar,6.7333,44.2667,Ethiopia,499500.0
655,Johor Bahru,1.482,103.7281,Malaysia,497097.0
656,Likasi,-10.9833,26.7333,Congo (Kinshasa),495000.0
657,Nyala,12.05,24.8833,Sudan,492984.0
658,Villa Nueva,14.5269,-90.5875,Guatemala,492480.0
659,Bissau,11.85,-15.5667,Guinea-Bissau,492004.0
660,Accra,5.5461,-0.2067,Ghana,491817.0
661,Kota Bharu,6.12,102.23,Malaysia,491237.0
662,‘Ajmān,25.4136,55.4456,United Arab Emirates,490035.0
663,Edinburgh,55.95,-3.1833,United Kingdom,488050.0
664,Garoowe,8.4,48.4833,Somalia,485000.0
665,Az Zarqā’,32.0833,36.1,Jordan,481300.0
666,Valletta,35.8983,14.5125,Malta,480134.0
667,Kolwezi,-10.7167,25.4667,Congo (Kinshasa),480000.0
668,Sylhet,24.9,91.8667,Bangladesh,479837.0
669,Berbera,10.4396,45.0143,Somalia,478000.0
670,Asunción,-25.2945,-57.6435,Paraguay,477346.0
671,Bratislava,48.1447,17.1128,Slovakia,475503.0
672,Al Jubayl,27.0046,49.646,Saudi Arabia,474679.0
673,Worthing,50.8147,-0.3714,United Kingdom,474485.0
674,Piura,-5.2,-80.6333,Peru,473025.0
675,Ar Ruşayfah,32.0178,36.0464,Jordan,472604.0
676,Morogoro,-6.8242,37.6633,Tanzania,471409.0
677,San Juan,-31.5342,-68.5261,Argentina,471389.0
678,Mykolaiv,46.975,31.995,Ukraine,470011.0
679,Mazār-e Sharīf,36.7,67.1167,Afghanistan,469247.0
680,Ba‘qūbah,33.7447,44.6436,Iraq,467900.0
681,Katlehong,-26.3333,28.15,South Africa,467890.0
682,Tel Aviv-Yafo,32.08,34.78,Israel,467875.0
683,Buraydah,26.3664,43.9628,Saudi Arabia,467410.0
684,Nakhon Ratchasima,14.9806,102.1,Thailand,466098.0
685,Tân Uyên,11.0508,106.7636,Vietnam,466053.0
686,Leicester,52.6361,-1.1331,United Kingdom,464395.0
687,Cranbourne,-38.0996,145.2834,Australia,460491.0
688,Juba,4.83,31.58,South Sudan,459342.0
689,Lanús,-34.7,-58.4,Argentina,459263.0
690,Ta‘izz,13.5789,44.0219,Yemen,458789.0
691,Kikwit,-5.0386,18.8181,Congo (Kinshasa),458000.0
692,Melaka,2.2064,102.2465,Malaysia,455300.0
693,Puerto La Cruz,10.2,-64.6333,Venezuela,454312.0
694,Kahama,-3.8375,32.6,Tanzania,453654.0
695,Hsinchu,24.8167,120.9833,Taiwan,453536.0
696,Kota Kinabalu,5.98,116.11,Malaysia,452058.0
697,Warder,6.9667,45.35,Ethiopia,450400.0
698,Sirājganj,24.45,89.7167,Bangladesh,450000.0
699,Bắc Giang,21.2667,106.2,Vietnam,450000.0
700,Zürich,47.3744,8.5411,Switzerland,448664.0
701,Constantine,36.35,6.6,Algeria,448374.0
702,Nam Định,20.42,106.1683,Vietnam,448225.0
703,Rājshāhi,24.3667,88.6,Bangladesh,448087.0
704,Piraeus,37.943,23.6469,Greece,448051.0
705,Zebediela,-24.31,29.27,South Africa,448000.0
706,Santiago de Cuba,20.0217,-75.8294,Cuba,444851.0
707,Chauddagram,23.2244,91.3731,Bangladesh,443648.0
708,Taoyuan District,24.9913,121.3143,Taiwan,443273.0
709,Korhogo,9.4578,-5.6294,Côte d’Ivoire,440926.0
710,Halifax,44.6475,-63.5906,Canada,439819.0
711,Laval,45.5833,-73.75,Canada,438366.0
712,Sunch’ŏn,39.4167,125.9333,"Korea, North",437000.0
713,Lobito,-12.35,13.5464,Angola,436467.0
714,Windhoek,-22.57,17.0836,Namibia,431000.0
715,Cusco,-13.525,-71.9722,Peru,428450.0
716,Aves,41.3703,-8.4101,Portugal,425411.0
717,Burco,9.5221,45.5336,Somalia,425000.0
718,Tétouan,35.5667,-5.3667,Morocco,422757.0
719,Ciudad Bolívar,8.1219,-63.55,Venezuela,422578.0
720,Skopje,41.9961,21.4317,North Macedonia,422540.0
721,Daloa,6.89,-6.45,Côte d’Ivoire,421871.0
722,Hpa-An,16.8906,97.6333,Burma,421525.0
723,Seremban,2.7105,101.94,Malaysia,419536.0
724,Kowloon City,22.3282,114.1916,Hong Kong,418732.0
725,Tirana,41.3272,19.8186,Albania,418495.0
726,Kushtia,23.9,89.12,Bangladesh,418312.0
727,El Obeid,13.1833,30.2167,Sudan,418280.0
728,Ajdābiyā,30.77,20.22,Libya,416000.0
729,Callao,-12.0522,-77.1392,Peru,415888.0
730,Banjul,13.4581,-16.5786,"Gambia, The",413397.0
731,Khon Kaen,16.4333,102.8333,Thailand,412758.0
732,Koumassi,5.2972,-3.9675,Côte d’Ivoire,412282.0
733,Kisumu,-0.1,34.75,Kenya,409928.0
734,Shashemenē,7.2,38.6,Ethiopia,407000.0
735,Hat Yai,7.0167,100.4667,Thailand,406513.0
736,Sham Shui Po,22.3307,114.1622,Hong Kong,405869.0
737,Santa Fe,-31.6333,-60.7,Argentina,405683.0
738,Cumaná,10.4564,-64.1675,Venezuela,405626.0
739,Barura,23.3683,91.0484,Bangladesh,405118.0
740,Al Ḩudaydah,14.8022,42.9511,Yemen,404062.0
741,Bogra,24.851,89.3711,Bangladesh,400983.0
742,Brno,49.1925,16.6083,Czechia,400566.0
743,Öskemen,49.9833,82.6167,Kazakhstan,400142.0
744,Maungdaw,20.8167,92.3667,Burma,400000.0
745,Luhansk,48.5678,39.3031,Ukraine,397677.0
746,Barinas,8.6333,-70.2,Venezuela,397279.0
747,Sandakan,5.843,118.108,Malaysia,396290.0
748,Szczecin,53.4325,14.5481,Poland,396168.0
749,Betsiboka,-16.8667,46.95,Madagascar,394561.0
750,Al Jahrā’,29.35,47.6833,Kuwait,393432.0
751,Tanga,-5.0742,39.0992,Tanzania,393429.0
752,Saurimo,-9.65,20.4,Angola,393000.0
753,Tāngāil,24.25,89.92,Bangladesh,392300.0
754,Khayelitsha,-34.0403,18.6778,South Africa,391749.0
755,Ad Dīwānīyah,31.9892,44.9247,Iraq,391600.0
756,San-Pédro,4.7704,-6.64,Côte d’Ivoire,390654.0
757,Bologna,44.4939,11.3428,Italy,387971.0
758,Aqtöbe,50.2836,57.2297,Kazakhstan,387807.0
759,Uvinza,-5.1069,30.3839,Tanzania,387442.0
760,Ḩafr al Bāţin,28.4337,45.9601,Saudi Arabia,387096.0
761,Sintra,38.7974,-9.3904,Portugal,385606.0
762,Ceel Baraf,3.2072,45.7593,Somalia,384630.0
763,Bawshar,23.5777,58.3998,Oman,383257.0
764,Christchurch,-43.5311,172.6361,New Zealand,383200.0
765,Kanifing,13.4475,-16.6725,"Gambia, The",382096.0
766,Serekunda,13.445,-16.675,"Gambia, The",382096.0
767,Canberra,-35.2931,149.1269,Australia,381488.0
768,Huancayo,-12.0667,-75.2167,Peru,378203.0
769,Iquitos,-3.75,-73.25,Peru,377609.0
770,Mamou,10.3833,-12.0833,Guinea,376269.0
771,Chitungwiza,-17.9939,31.0481,Zimbabwe,371244.0
772,Az Zubayr,30.3892,47.7081,Iraq,370000.0
773,Bharatpur,27.6833,84.4333,Nepal,369377.0
774,Petare,10.4833,-66.8167,Venezuela,369000.0
775,La Florida,-33.5333,-70.5833,Chile,366916.0
776,Qardho,9.5004,49.166,Somalia,365000.0
777,Wŏnsan,39.1475,127.4461,"Korea, North",363127.0
778,Coventry,52.4081,-1.5106,United Kingdom,362690.0
779,Keelung,25.1333,121.7333,Taiwan,362487.0
780,Geita,-2.8714,32.2294,Tanzania,361671.0
781,Cuenca,-2.8974,-79.0045,Ecuador,361524.0
782,Caerdydd,51.4817,-3.1792,United Kingdom,361469.0
783,Hrodna,53.6667,23.8333,Belarus,361115.0
784,Florence,43.7714,11.2542,Italy,360930.0
785,Buurhakaba,2.7837,44.0833,Somalia,360795.0
786,Malmö,55.5833,13.0333,Sweden,360249.0
787,Pétion-Ville,18.5098,-72.2856,Haiti,359615.0
788,Utrecht,52.0908,5.1217,Netherlands,359370.0
789,Alicante,38.3453,-0.4831,Spain,358720.0
790,Vitsyebsk,55.1917,30.2056,Belarus,358395.0
791,Taraz,42.9,71.3667,Kazakhstan,357795.0
792,Cubal,-13.0333,14.25,Angola,357618.0
793,Luena,-11.7918,19.9062,Angola,357413.0
794,Gonaïves,19.4456,-72.6883,Haiti,356324.0
795,Vinnytsia,49.2333,28.4833,Ukraine,356303.0
796,Gedaref,14.0333,35.3833,Sudan,354927.0
797,Pokhara,28.2097,83.9853,Nepal,353841.0
798,Nice,43.7034,7.2663,France,353701.0
799,Mahilyow,53.9167,30.35,Belarus,353110.0
800,Osh,40.5333,72.7833,Kyrgyzstan,353080.0
801,Corrientes,-27.4833,-58.8167,Argentina,352646.0
802,Sinŭiju,40.1,124.4,"Korea, North",352000.0
803,Oruro,-17.9667,-67.1167,Bolivia,351802.0
804,Varna,43.2114,27.9111,Bulgaria,350745.0
805,Semey,50.4333,80.2667,Kazakhstan,350201.0
806,Holguín,20.8872,-76.2631,Cuba,350191.0
807,Godē,5.9527,43.5516,Ethiopia,350000.0
808,Antofagasta,-23.65,-70.4,Chile,348517.0
809,António Enes,-16.2308,39.9105,Mozambique,347175.0
810,Plovdiv,42.1434,24.751,Bulgaria,346893.0
811,Central Coast,-33.3,151.2,Australia,346596.0
812,Tanch’ŏn,40.458,128.911,"Korea, North",345875.0
813,Wad Medani,14.4,33.51,Sudan,345290.0
814,Kūstī,13.17,32.66,Sudan,345068.0
815,Brest,52.1347,23.6569,Belarus,344470.0
816,Maseru,-29.31,27.48,Lesotho,343541.0
817,Pavlodar,52.3,76.95,Kazakhstan,343091.0
818,Chon Buri,13.3611,100.985,Thailand,342959.0
819,Vahdat,38.5531,69.0206,Tajikistan,342700.0
820,Sfax,34.74,10.76,Tunisia,341999.0
821,Sumqayıt,40.5961,49.67,Azerbaijan,341200.0
822,Yamoussoukro,6.8161,-5.2742,Côte d’Ivoire,340234.0
823,Makiivka,48.0556,37.9611,Ukraine,338968.0
824,Bydgoszcz,53.1219,18.0003,Poland,337666.0
825,Randburg,-26.0936,28.0064,South Africa,337053.0
826,Santo Domingo de los Colorados,-0.2542,-79.1719,Ecuador,334826.0
827,Lublin,51.25,22.5667,Poland,334681.0
828,Tampere,61.4981,23.76,Finland,334112.0
829,Viña del Mar,-33.0244,-71.5517,Chile,332875.0
830,Nukus,42.4667,59.6,Uzbekistan,332500.0
831,Simferopol,44.9519,34.1022,Ukraine,332317.0
832,Şalālah,17.0197,54.0897,Oman,331949.0
833,Yanbu‘,24.0523,38.1503,Saudi Arabia,331916.0
834,Gəncə,40.6828,46.3606,Azerbaijan,331400.0
835,Finglas,53.3892,-6.2969,Ireland,330506.0
836,Nicosia,35.1725,33.365,Cyprus,330000.0
837,Guédiawaye,14.7724,-17.3884,Senegal,329659.0
838,Phatthaya,12.9357,100.889,Thailand,328961.0
839,Si Racha,13.174,100.93,Thailand,327172.0
840,Chipata,-13.6453,32.6464,Zambia,327059.0
841,Roodepoort,-26.1625,27.8725,South Africa,326416.0
842,Pucallpa,-8.3833,-74.55,Peru,326040.0
843,Nantes,47.2181,-1.5528,France,325070.0
844,Nazrēt,8.5414,39.2689,Ethiopia,324000.0
845,Safi,32.2833,-9.2333,Morocco,323888.0
846,Kikuyu,-1.2463,36.6629,Kenya,323881.0
847,Córdoba,37.89,-4.78,Spain,323763.0
848,Mekele,13.4969,39.4769,Ethiopia,323700.0
849,Camagüey,21.3786,-77.9186,Cuba,321992.0
850,Taourirt,34.4169,-2.885,Morocco,321876.0
851,San Salvador de Jujuy,-24.1833,-65.3,Argentina,321789.0
852,La Paz,-16.4958,-68.1333,Bolivia,321073.0
853,Kaech’ŏn,39.6986,125.9061,"Korea, North",319554.0
854,Muhanga,-2.0845,29.7527,Rwanda,319141.0
855,Saint-Denis,-20.8789,55.4481,Reunion,319141.0
856,Puerto Plata,19.8,-70.6833,Dominican Republic,318419.0
857,Port Moresby,-9.4789,147.1494,Papua New Guinea,317374.0
858,Bari,41.1253,16.8667,Italy,316015.0
859,Bor,6.2072,31.5591,South Sudan,315351.0
860,San Miguelito,9.0503,-79.4707,Panama,315019.0
861,N’Zérékoré,7.7522,-8.8217,Guinea,315000.0
862,Espoo,60.2056,24.6556,Finland,314821.0
863,Sousse,35.8333,10.6333,Tunisia,314071.0
864,Attiecoubé,5.3453,-4.035,Côte d’Ivoire,313135.0
865,Catania,37.5027,15.0873,Italy,311584.0
866,Ḩā’il,27.5167,41.6833,Saudi Arabia,310897.0
867,Mitchells Plain,-34.0506,18.6181,South Africa,310485.0
868,Ciudad del Este,-25.5167,-54.6161,Paraguay,308983.0
869,Tabora,-5.0167,32.8,Tanzania,308741.0
870,Hisor,38.5264,68.5381,Tajikistan,308100.0
871,Nakuru,-0.2833,36.0667,Kenya,307990.0
872,Sariwŏn,38.5064,125.7597,"Korea, North",307764.0
873,Montpellier,43.6119,3.8772,France,307101.0
874,Kaunas,54.9,23.9333,Lithuania,305120.0
875,Sumbawanga,-7.9667,31.6167,Tanzania,303986.0
876,Vila Nova de Gaia,41.1333,-8.6167,Portugal,303824.0
877,Panjakent,39.5,67.6167,Tajikistan,303000.0
878,Bahía Blanca,-38.7167,-62.2667,Argentina,301572.0
879,San Bernardo,-33.5833,-70.7,Chile,301313.0
880,Valladolid,41.6528,-4.7236,Spain,300618.0
881,Al Qunfudhah,19.1264,41.0789,Saudi Arabia,300516.0
882,Āwasa,7.05,38.4667,Ethiopia,300100.0
883,Sucre,-19.0475,-65.26,Bolivia,300000.0
884,Jinja,0.4233,33.2039,Uganda,300000.0
885,Ar Raqqah,35.9304,39.02,Syria,299824.0
886,Farg‘ona,40.3864,71.7864,Uzbekistan,299200.0
887,Tursunzoda,38.5108,68.2303,Tajikistan,298800.0
888,Resistencia,-27.4514,-58.9867,Argentina,298611.0
889,Temara,33.9267,-6.9122,Morocco,297098.0
890,Malabo,3.7456,8.7744,Equatorial Guinea,297000.0
891,Valparaíso,-33.0461,-71.6197,Chile,296655.0
892,Rufisque,14.714,-17.2723,Senegal,295459.0
893,Eloy Alfaro,-2.1733,-79.8311,Ecuador,295211.0
894,Divo,5.8372,-5.3572,Côte d’Ivoire,294559.0
895,Białystok,53.1353,23.1456,Poland,294242.0
896,Vigo,42.2314,-8.7124,Spain,293977.0
897,Graz,47.0708,15.4386,Austria,292630.0
898,Strasbourg,48.5833,7.7458,France,291709.0
899,Chimbote,-9.0745,-78.5936,Peru,291408.0
900,Bergen,60.3925,5.3233,Norway,291189.0
901,Batna,35.55,6.1667,Algeria,290645.0
902,San Miguel,13.4814,-88.1775,El Salvador,290612.0
903,Aarhus,56.1572,10.2107,Denmark,290598.0
904,Eldoret,0.5167,35.2833,Kenya,289380.0
905,Magway,20.15,94.95,Burma,289247.0
906,Kabwe,-14.4333,28.45,Zambia,288598.0
907,Cabimas,10.4,-71.45,Venezuela,288595.0
908,Sétif,36.19,5.41,Algeria,288461.0
909,Machala,-3.2667,-79.9667,Ecuador,288072.0
910,San Lorenzo,-25.34,-57.52,Paraguay,287977.0
911,Pathein,16.7842,94.7333,Burma,287071.0
912,Cluj-Napoca,46.7667,23.5833,Romania,286598.0
913,Songea,-10.6833,35.65,Tanzania,286285.0
914,Tacna,-18.0147,-70.2489,Peru,286240.0
915,Tin Shui Wai,22.46,114.002,Hong Kong,286232.0
916,Katowice,50.2625,19.0217,Poland,285711.0
917,Masaka,-0.3411,31.7361,Uganda,285509.0
918,Croix-des-Bouquets,18.5761,-72.2269,Haiti,284812.0
919,San Juan Sacatepéquez,14.7189,-90.6442,Guatemala,284798.0
920,Ostrava,49.8356,18.2925,Czechia,284765.0
921,Soyapango,13.7333,-89.15,El Salvador,284659.0
922,Ljubljana,46.0514,14.5061,Slovenia,284293.0
923,Bago,17.3333,96.4833,Burma,284179.0
924,Delmas,18.55,-72.3,Haiti,284079.0
925,Temuco,-38.7333,-72.6667,Chile,282415.0
926,Ica,-14.0667,-75.7333,Peru,282407.0
927,Phitsanulok,16.8158,100.2636,Thailand,281929.0
928,Bukhara,39.7667,64.4231,Uzbekistan,280187.0
929,Qarshi,38.8667,65.8,Uzbekistan,278300.0
930,Santa Ana,13.995,-89.5561,El Salvador,277264.0
931,Gagnoa,6.1333,-5.9333,Côte d’Ivoire,277044.0
932,Dire Dawa,9.6,41.8667,Ethiopia,277000.0
933,Lashkar Gāh,31.5831,64.3692,Afghanistan,276831.0
934,Juliaca,-15.4833,-70.1333,Peru,276110.0
935,Nassau,25.0442,-77.3503,"Bahamas, The",274400.0
936,Isfara,40.1167,70.6333,Tajikistan,274000.0
937,Istaravshan,39.9108,69.0064,Tajikistan,273500.0
938,Los Alcarrizos,18.5167,-70.0167,Dominican Republic,272776.0
939,Soubré,5.7836,-6.5939,Côte d’Ivoire,272773.0
940,Dayr az Zawr,35.3304,40.13,Syria,271800.0
941,Iaşi,47.1622,27.5889,Romania,271692.0
942,Kunduz,36.7286,68.8681,Afghanistan,268893.0
943,Tarija,-21.5333,-64.7333,Bolivia,268000.0
944,Potosí,-19.5892,-65.7533,Bolivia,267907.0
945,Maradi,13.501,7.1036,Niger,267249.0
946,Xiangkhoang,19.4167,103.5,Laos,267172.0
947,Kibaha,-6.7667,38.9167,Tanzania,265360.0
948,Gent,51.0536,3.7253,Belgium,265086.0
949,Antsirabe,-19.8667,47.0333,Madagascar,265018.0
950,Taunggyi,20.7836,97.0354,Burma,264804.0
951,Ed Daein,11.4672,26.1317,Sudan,264734.0
952,Constanţa,44.1667,28.6333,Romania,263707.0
953,Luque,-25.2672,-57.4853,Paraguay,263604.0
954,Jalālābād,34.4342,70.4478,Afghanistan,263312.0
955,Chiayi,23.48,120.4497,Taiwan,263188.0
956,Tchibota,-4.1794,11.3731,Congo (Brazzaville),262931.0
957,Wollongong,-34.4331,150.8831,Australia,261896.0
958,Novi Sad,45.2542,19.8425,Serbia,260438.0
